"País","Pontuação Leitura - Geral","Pontuação Leitura - Nível Socioeconômico Alto *","Pontuação Leitura - Nível Socioeconômico Baixo *","Pontuação Leitura - Diferença"
"Albânia","405.43","454.59","391.68","62.91"
"Alemanha","498.28","551.59","452.85","98.74"
"Arábia Saudita","399.15","437.75","375.89","61.86"
"Argentina","401.5","467.8","372.84","94.96"
"Austrália","502.63","532.07","446.34","85.73"
"Áustria","484.39","523.05","435.29","87.76"
"Baku (Azerbaijão)","389.39","413.88","377.7","36.18"
"Bélgica","492.86","536.8","436.13","100.67"
"Bielorrúsia","473.79","519.63","423.21","96.42"
"Bósnia e Herzegovina","402.98","439.22","386.38","52.84"
"Brasil","412.87","492.19","389.61","102.58"
"Brunei Darussalam","408.07","461.6","367.93","93.67"
"Bulgária","419.84","470.62","375.74","94.88"
"Canadá","520.09","542.13","473.61","68.52"
"Cazaquistão","386.91","409.23","371.53","37.7"
"Chile","452.27","506.8","428.18","78.62"
"China (B-S-J-Z)","555.24","604.75","532.56","72.19"
"Cingapura","549.46","584.84","489.17","95.67"
"Colômbia","412.3","475.33","392.45","82.88"
"Coreia","514.05","542.41","470.55","71.86"
"Costa Rica","426.5","480.09","402.48","77.61"
"Croácia","478.99","517.63","456.29","61.34"
"Dinamarca","501.13","519.65","441.27","78.38"
"Emirados Árabes Unidos","431.78","468.58","368.44","100.14"
"Eslováquia","457.98","504.84","411.23","93.61"
"Eslovênia","495.35","530.41","456.89","73.52"
"Estados Unidos","505.35","540.84","456.43","84.41"
"Estônia","523.02","550.01","496.64","53.37"
"Filipinas","339.69","430.17","323.16","107.01"
"Finlândia","520.08","545.7","470.93","74.77"
"França","492.61","539.26","440.39","98.87"
"Geórgia","379.75","418.72","354.99","63.73"
"Grécia","457.41","495.13","420.65","74.48"
"Hong Kong","524.28","555.63","507.41","48.22"
"Hungria","475.99","524.48","424.78","99.7"
"Indonésia","370.97","433.62","361.37","72.25"
"Irlanda","518.08","545.2","473.7","71.5"
"Islândia","473.97","494.49","419.91","74.58"
"Israel","470.42","513.8","392.75","121.05"
"Itália","476.28","509.55","443.72","65.83"
"Japão","503.86","535.05","462.42","72.63"
"Jordânia","419.06","455.65","399.06","56.59"
"Kosovo","353.07","380.05","343.26","36.79"
"Letônia","478.7","506.97","446.58","60.39"
"Líbano","353.36","414.06","319.49","94.57"
"Lituânia","475.87","510.07","429.66","80.41"
"Luxemburgo","469.99","518.81","416.64","102.17"
"Macao","525.12","545.89","515.62","30.27"
"Malásia","414.98","476.46","391.48","84.98"
"Malta","448.23","480.92","406.28","74.64"
"Marrocos","359.39","417.48","349.81","67.67"
"México","420.47","479.31","402.86","76.45"
"Moldova","423.99","484.64","393.64","91"
"Montenegro","421.06","448.46","398.44","50.02"
"Noruega","499.45","519.85","428.49","91.36"
"Nova Zelândia","505.73","542","454.11","87.89"
"OCDE","487.13","0","0","0"
"Países Baixos","484.78","514.28","434.02","80.26"
"Panamá","376.97","442.5","352.96","89.54"
"Peru","400.51","477.6","375.26","102.34"
"Polônia","511.86","555.54","474.82","80.72"
"Portugal","491.8","537.18","458.38","78.8"
"Qatar","407.09","437.84","349.9","87.94"
"Região Centro Oeste","425.01","497.73","396.52","101.21"
"Região Nordeste","389.03","484.65","372.46","112.19"
"Região Norte","392.01","458.72","374.78","83.94"
"Região Sudeste","423.69","490.62","400.69","89.93"
"Região Sul","432.03","511.59","404.12","107.47"
"Reino Unido","503.93","532.6","462.57","70.03"
"República Checa","490.22","540.94","444","96.94"
"República da Macedônia","392.67","438.2","365.52","72.68"
"República Dominicana","341.63","404.82","327.21","77.61"
"Romênia","427.7","487.29","392.52","94.77"
"Rússia","478.5","504.1","430.88","73.22"
"Sérvia","439.47","476.51","412.02","64.49"
"Suécia","505.79","533.62","444.81","88.81"
"Suíça","483.93","526.37","430.65","95.72"
"Tailândia","392.89","458.67","376.58","82.09"
"Taipe Chinesa (Taiwan)","502.6","548.38","468.32","80.06"
"Turquia","465.63","531.03","447.71","83.32"
"Ucrânia","465.95","508.72","423.1","85.62"
"Uruguai","427.12","491.71","402.87","88.84"
