"País","Pontuação Leitura - Geral","Pontuação Leitura - Feminino","Pontuação Leitura - Masculino","Pontuação Leitura - Diferença"
"Albânia","405.43","424.62","387.01","37.61"
"Alemanha","498.28","512.21","486.31","25.9"
"Arábia Saudita","399.15","427.17","372.84","54.33"
"Argentina","401.5","409.41","393.36","16.05"
"Austrália","502.63","518.57","487.21","31.36"
"Áustria","484.39","498.65","470.56","28.09"
"Baku (Azerbaijão)","389.39","402.81","377.29","25.52"
"Bélgica","492.86","503.69","481.97","21.72"
"Bielorrúsia","473.79","485.62","462.87","22.75"
"Bósnia e Herzegovina","402.98","418.18","388.51","29.67"
"Brasil","412.87","425.71","400.03","25.68"
"Brunei Darussalam","408.07","423.08","393.35","29.73"
"Bulgária","419.84","441.26","400.92","40.34"
"Canadá","520.09","534.67","505.73","28.94"
"Cazaquistão","386.91","400.73","373.85","26.88"
"Chile","452.27","462.3","442.49","19.81"
"China (B-S-J-Z)","555.24","561.89","549.15","12.74"
"Cingapura","549.46","561.29","538.09","23.2"
"Colômbia","412.3","417.36","407.03","10.33"
"Coreia","514.05","526.41","502.84","23.57"
"Costa Rica","426.5","433.6","419.22","14.38"
"Croácia","478.99","495.32","462.44","32.88"
"Dinamarca","501.13","515.81","486.47","29.34"
"Emirados Árabes Unidos","431.78","459.77","403.02","56.75"
"Eslováquia","457.98","475.08","440.65","34.43"
"Eslovênia","495.35","516.71","474.99","41.72"
"Estados Unidos","505.35","517.38","493.83","23.55"
"Estônia","523.02","538.35","507.7","30.65"
"Filipinas","339.69","352.32","325.43","26.89"
"Finlândia","520.08","546.34","494.79","51.55"
"França","492.61","505.22","480.32","24.9"
"Geórgia","379.75","399.47","361.67","37.8"
"Grécia","457.41","478.79","436.64","42.15"
"Hong Kong","524.28","542.08","507.42","34.66"
"Hungria","475.99","489.11","462.62","26.49"
"Indonésia","370.97","383.43","358.09","25.34"
"Irlanda","518.08","529.62","506.4","23.22"
"Islândia","473.97","494.15","453.54","40.61"
"Israel","470.42","493.2","445.07","48.13"
"Itália","476.28","489.08","464.35","24.73"
"Japão","503.86","513.82","493.4","20.42"
"Jordânia","419.06","444.16","393.06","51.1"
"Kosovo","353.07","365.68","340.45","25.23"
"Letônia","478.7","494.84","462.04","32.8"
"Líbano","353.36","366.33","338.25","28.08"
"Lituânia","475.87","495.63","456.97","38.66"
"Luxemburgo","469.99","484.81","455.56","29.25"
"Macao","525.12","536.27","514.26","22.01"
"Malásia","414.98","427.71","401.58","26.13"
"Malta","448.23","473.55","425.01","48.54"
"Marrocos","359.39","372.93","347.02","25.91"
"México","420.47","425.8","414.68","11.12"
"Moldova","423.99","444.6","404.49","40.11"
"Montenegro","421.06","436.83","406.58","30.25"
"Noruega","499.45","523.2","476.22","46.98"
"Nova Zelândia","505.73","520.26","491.42","28.84"
"OCDE","487.13","0","0","0"
"Países Baixos","484.78","499.25","470.4","28.85"
"Panamá","376.97","384.1","369.73","14.37"
"Peru","400.51","405.88","395.36","10.52"
"Polônia","511.86","528.24","495.45","32.79"
"Portugal","491.8","504.1","479.85","24.25"
"Qatar","407.09","440.25","374.88","65.37"
"Região Centro Oeste","425.01","437.86","412.13","25.73"
"Região Nordeste","389.03","400.78","377.55","23.23"
"Região Norte","392.01","398.15","385.79","12.36"
"Região Sudeste","423.69","437.86","409.49","28.37"
"Região Sul","432.03","446.05","417.55","28.5"
"Reino Unido","503.93","513.7","493.57","20.13"
"República Checa","490.22","507.18","473.99","33.19"
"República da Macedônia","392.67","419.78","368.13","51.65"
"República Dominicana","341.63","357.11","326.04","31.07"
"Romênia","427.7","445.16","411.26","33.9"
"Rússia","478.5","491.02","465.78","25.24"
"Sérvia","439.47","457.91","421.71","36.2"
"Suécia","505.79","522.96","488.63","34.33"
"Suíça","483.93","500.04","469.45","30.59"
"Tailândia","392.89","411.11","372.18","38.93"
"Taipe Chinesa (Taiwan)","502.6","513.6","491.7","21.9"
"Turquia","465.63","478.38","453.1","25.28"
"Ucrânia","465.95","483.56","450.1","33.46"
"Uruguai","427.12","438.13","415.13","23"
