"País","Pontuação Matemática - Geral","Pontuação Matemática - Nível Socioeconômico Alto *","Pontuação Matemática - Nível Socioeconômico Baixo *","Pontuação Matemática - Diferença"
"Albânia","437.22","473","429.32","43.68"
"Alemanha","500.04","549.35","456.37","92.98"
"Arábia Saudita","373.24","409.87","351.51","58.36"
"Argentina","379.45","441.4","352.98","88.42"
"Austrália","491.36","517.17","440.07","77.1"
"Áustria","498.94","537.31","448.31","89"
"Baku (Azerbaijão)","419.64","451.35","403.84","47.51"
"Bélgica","508.07","554.19","449.45","104.74"
"Bielorrúsia","471.87","520.32","418.49","101.83"
"Bósnia e Herzegovina","406.38","445.77","387.91","57.86"
"Brasil","383.57","461.82","360.79","101.03"
"Brunei Darussalam","430.11","476.69","395.55","81.14"
"Bulgária","436.04","483.35","394.53","88.82"
"Canadá","512.02","533.76","465.97","67.79"
"Cazaquistão","423.15","443.83","410.59","33.24"
"Chile","417.41","471.58","391.17","80.41"
"China (B-S-J-Z)","591.39","633.18","572.94","60.24"
"Cingapura","569.01","600.73","514.3","86.43"
"Colômbia","390.93","450.27","373.64","76.63"
"Coreia","525.93","559.67","477.27","82.4"
"Costa Rica","402.33","449.6","381.57","68.03"
"Croácia","464.2","505.87","439.27","66.6"
"Dinamarca","509.4","526.16","456.31","69.85"
"Emirados Árabes Unidos","434.95","470.22","370.5","99.72"
"Eslováquia","486.16","536.4","434.2","102.2"
"Eslovênia","508.9","546.08","466.51","79.57"
"Espanha","481.39","515.98","446.44","69.54"
"Estados Unidos","478.24","513.61","429.25","84.36"
"Estônia","523.41","550.31","493.23","57.08"
"Filipinas","352.57","427.91","338.7","89.21"
"Finlândia","507.3","530.77","461.31","69.46"
"França","495.41","540.59","439.57","101.02"
"Geórgia","397.59","439.12","368.31","70.81"
"Grécia","451.37","488.25","415.88","72.37"
"Hong Kong","551.15","581.69","533.41","48.28"
"Hungria","481.08","530.51","428.28","102.23"
"Indonésia","378.67","446.09","368.92","77.17"
"Irlanda","499.63","524.03","460.27","63.76"
"Islândia","495.19","514.45","436.62","77.83"
"Israel","463.03","501.05","388.92","112.13"
"Itália","486.59","524.29","451.94","72.35"
"Japão","526.97","555.92","487.54","68.38"
"Jordânia","399.76","434.93","382.22","52.71"
"Kosovo","365.88","395.02","353.88","41.14"
"Letônia","496.13","525.75","461.29","64.46"
"Líbano","393.45","444.94","363.14","81.8"
"Lituânia","481.19","515.37","434.91","80.46"
"Luxemburgo","483.42","528.91","434.21","94.7"
"Macao","557.67","579.08","546.36","32.72"
"Malásia","440.21","499.45","416.77","82.68"
"Malta","471.72","507.41","426.92","80.49"
"Marrocos","367.73","431.84","356.97","74.87"
"México","408.8","457.95","393.22","64.73"
"Moldova","420.6","483.13","389.47","93.66"
"Montenegro","429.61","457.53","404.79","52.74"
"Noruega","500.96","519.82","439.26","80.56"
"Nova Zelândia","494.49","525.14","445.79","79.35"
"OCDE","489.29","0","0","0"
"Países Baixos","519.23","548.85","464.87","83.98"
"Panamá","352.85","410.66","331.64","79.02"
"Peru","399.84","468.11","377.59","90.52"
"Polônia","515.65","560.59","477.66","82.93"
"Portugal","492.49","543.1","455.43","87.67"
"Qatar","414.23","443.05","355.09","87.96"
"Região Centro Oeste","395.58","472.15","368.17","103.98"
"Região Nordeste","363.29","454.58","347.63","106.95"
"Região Norte","366.37","427.66","345.97","81.69"
"Região Sudeste","391.92","460.7","369.07","91.63"
"Região Sul","401.23","477.76","373.89","103.87"
"Reino Unido","501.77","530.64","458.12","72.52"
"República Checa","499.47","549.86","452.87","96.99"
"República da Macedônia","394.45","442.6","365.61","76.99"
"República Dominicana","325.1","379.89","311.78","68.11"
"Romênia","429.92","489.35","393.58","95.77"
"Rússia","487.79","511.31","445.62","65.69"
"Sérvia","448.28","488.69","419.89","68.8"
"Suécia","502.39","528.46","446.77","81.69"
"Suíça","515.31","554.8","464.31","90.49"
"Tailândia","418.56","495.65","401.49","94.16"
"Taipe Chinesa (Taiwan)","531.14","576.77","493.85","82.92"
"Turquia","453.51","523.37","434.93","88.44"
"Ucrânia","453.12","497.48","410.16","87.32"
"Uruguai","417.66","480.33","393.98","86.35"
