"País","Pontuação Matemática - Geral","Pontuação Matemática - Feminino","Pontuação Matemática - Masculino","Pontuação Matemática - Diferença"
"Albânia","437.22","439.73","434.82","4.91"
"Alemanha","500.04","496.25","503.31","-7.06"
"Arábia Saudita","373.24","379.97","366.92","13.05"
"Argentina","379.45","371.85","387.28","-15.43"
"Austrália","491.36","488.3","494.32","-6.02"
"Áustria","498.94","492.2","505.48","-13.28"
"Baku (Azerbaijão)","419.64","415.63","423.26","-7.63"
"Bélgica","508.07","502.05","514.13","-12.08"
"Bielorrúsia","471.87","468.61","474.87","-6.26"
"Bósnia e Herzegovina","406.38","405.06","407.65","-2.59"
"Brasil","383.57","379.27","387.87","-8.6"
"Brunei Darussalam","430.11","433.95","426.35","7.6"
"Bulgária","436.04","436.9","435.28","1.62"
"Canadá","512.02","509.55","514.45","-4.9"
"Cazaquistão","423.15","422.48","423.77","-1.29"
"Chile","417.41","413.63","421.09","-7.46"
"China (B-S-J-Z)","591.39","585.75","596.55","-10.8"
"Cingapura","569.01","566.89","571.04","-4.15"
"Colômbia","390.93","381.37","400.89","-19.52"
"Coreia","525.93","523.81","527.86","-4.05"
"Costa Rica","402.33","393.6","411.27","-17.67"
"Croácia","464.2","459.92","468.54","-8.62"
"Dinamarca","509.4","507.45","511.34","-3.89"
"Emirados Árabes Unidos","434.95","439.32","430.45","8.87"
"Eslováquia","486.16","483.9","488.46","-4.56"
"Eslovênia","508.9","508.59","509.19","-0.6"
"Espanha","481.39","478.14","484.57","-6.43"
"Estados Unidos","478.24","473.85","482.46","-8.61"
"Estônia","523.41","519.19","527.64","-8.45"
"Filipinas","352.57","358.04","346.39","11.65"
"Finlândia","507.3","510.41","504.31","6.1"
"França","495.41","492.18","498.54","-6.36"
"Geórgia","397.59","399.81","395.55","4.26"
"Grécia","451.37","451.21","451.53","-0.32"
"Hong Kong","551.15","554","548.46","5.54"
"Hungria","481.08","476.72","485.53","-8.81"
"Indonésia","378.67","383.45","373.73","9.72"
"Irlanda","499.63","496.68","502.62","-5.94"
"Islândia","495.19","500.06","490.25","9.81"
"Israel","463.03","467.39","458.19","9.2"
"Itália","486.59","478.55","494.09","-15.54"
"Japão","526.97","522.03","532.16","-10.13"
"Jordânia","399.76","402.78","396.63","6.15"
"Kosovo","365.88","363.78","367.99","-4.21"
"Letônia","496.13","492.79","499.56","-6.77"
"Líbano","393.45","393.31","393.62","-0.31"
"Lituânia","481.19","482.45","479.98","2.47"
"Luxemburgo","483.42","479.62","487.11","-7.49"
"Macao","557.67","555.77","559.52","-3.75"
"Malásia","440.21","443.48","436.76","6.72"
"Malta","471.72","478.42","465.59","12.83"
"Marrocos","367.73","367.28","368.14","-0.86"
"México","408.8","403.17","414.92","-11.75"
"Moldova","420.6","421.67","419.6","2.07"
"Montenegro","429.61","425.32","433.56","-8.24"
"Noruega","500.96","504.51","497.5","7.01"
"Nova Zelândia","494.49","490.02","498.89","-8.87"
"OCDE","489.29","0","0","0"
"Países Baixos","519.23","518.55","519.91","-1.36"
"Panamá","352.85","349.05","356.7","-7.65"
"Peru","399.84","391.51","407.84","-16.33"
"Polônia","515.65","514.95","516.35","-1.4"
"Portugal","492.49","487.91","496.93","-9.02"
"Qatar","414.23","426.4","402.41","23.99"
"Região Centro Oeste","395.58","391.5","399.67","-8.17"
"Região Nordeste","363.29","360.45","366.06","-5.61"
"Região Norte","366.37","358.87","373.97","-15.1"
"Região Sudeste","391.92","387.73","396.12","-8.39"
"Região Sul","401.23","395.02","407.63","-12.61"
"Reino Unido","501.77","495.86","508.03","-12.17"
"República Checa","499.47","497.67","501.19","-3.52"
"República da Macedônia","394.45","398.33","390.93","7.4"
"República Dominicana","325.1","326.67","323.52","3.15"
"Romênia","429.92","427.22","432.46","-5.24"
"Rússia","487.79","485.46","490.15","-4.69"
"Sérvia","448.28","446.8","449.71","-2.91"
"Suécia","502.39","503.01","501.76","1.25"
"Suíça","515.31","511.6","518.66","-7.06"
"Tailândia","418.56","426.03","410.06","15.97"
"Taipe Chinesa (Taiwan)","531.14","529.36","532.91","-3.55"
"Turquia","453.51","451.02","455.96","-4.94"
"Ucrânia","453.12","449.44","456.43","-6.99"
"Uruguai","417.66","413.67","422.01","-8.34"
