"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.44202","7.05207","12.2702","13.8376","15.8029","18.1495","18.5304","18.9015","18.9015","18.9015","18.612","18.5017","18.2095","18.2095","18.2095","18.2095","18.2095","",
"Afghanistan","AFG","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000808843","0.000857557","0.00189157","0.00184498","0.0018036","0.00352177","0.00513954","0.00513954","0.00481365","0.00464834","0.00449495","0.0205355","0.0248735","0.0463135","0.0470543","0.0517405","",
"Angola","AGO","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0370126","0.0559665","0.0734802","0.0666244","0.0642226","0.0653038","0.0816953","0.085648","0.325702","0.550742","0.426922","0.325049","0.355605","0.374064","",
"Albania","ALB","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00881169","0.00881169","0.329598","2.13143","3.09447","3.57999","4.37787","5.49357","6.28682","7.18032","8.40231","9.22864","10.5268","12.5145","15.1407","",
"Andorra","AND","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.63885","4.92061","8.23934","13.1119","18.046","22.4058","24.65","27.161","29.014","30.7629","32.641","34.3353","36.3198","39.3457","42.0327","44.5241","46.312","47.1313","",
"Arab World","ARB","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.145962012093887","0.308235306691576","0.492252645626752","0.873786701725572","1.27755808798749","1.72796750630831","2.09372026727876","2.44240771064139","2.77830059569691","3.0272353247073","3.47775587520928","4.86162148877637","5.81727824754408","7.1851868491862","7.30762457285537","","",
"United Arab Emirates","ARE","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0123734","0.0629534","0.253549","0.478099","0.817014","1.37999","2.81852","4.53985","6.15675","7.86484","8.72037","9.20256","9.69028","10.4466","11.3279","11.8487","13.3268","13.8616","29.1111","31.4046","31.1749","",
"Argentina","ARG","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.252175","0.392763","0.67961","1.41037","2.38275","4.03084","6.55171","7.77128","8.67289","9.85002","11.0648","12.3304","14.8142","15.2904","15.9159","16.6017","17.85","19.1015","19.6361","",
"Armenia","ARM","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000196677","0.00026368","0.000331353","0.0333253","0.0667501","0.0667501","0.132987","0.474581","1.38112","3.25254","5.58216","7.35214","8.38829","9.36973","9.78683","10.1892","10.7077","11.7709","13.0405","",
"American Samoa","ASM","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.06881","7.12085","1.86327","2.69678","5.83861","18.4608","8.0872","6.72246","14.4565","17.0976","11.6182","10.6876","9.7972","9.43139","9.43139","9.43139","",
