Entity,Code,Political Parties
Afghanistan,AFG,36
Albania,ALB,72
Algeria,DZA,67
Argentina,ARG,78
Armenia,ARM,57
Australia,AUS,58
Azerbaijan,AZE,28
Bangladesh,BGD,45
Belgium,BEL,67
Bolivia,BOL,78
Bosnia and Herzegovina,BIH,77
Brazil,BRA,81
Bulgaria,BGR,76
Burundi,BDI,14
Cambodia,KHM,28
Cameroon,CMR,69
Canada,CAN,62
Chile,CHL,76
Colombia,COL,81
Croatia,HRV,72
Cyprus,CYP,91
Czech Republic,CZE,73
Democratic Republic of Congo,COD,76
Denmark,DNK,30
Egypt,EGY,72
El Salvador,SLV,85
Estonia,EST,55
Ethiopia,ETH,24
Fiji,FJI,50
Finland,FIN,45
France,FRA,73
Georgia,GEO,28
Germany,DEU,65
Ghana,GHA,76
Greece,GRC,90
Hungary,HUN,68
India,IND,86
Indonesia,IDN,86
Iraq,IRQ,47
Israel,ISR,79
Italy,ITA,89
Jamaica,JAM,85
Japan,JPN,80
Kazakhstan,KAZ,23
Kenya,KEN,53
Kosovo,OWID_KOS,75
Kyrgyzstan,KGZ,75
Latvia,LVA,68
Lebanon,LBN,68
Liberia,LBR,71
Libya,LBY,39
Lithuania,LTU,78
Luxembourg,LUX,53
Macedonia,MKD,68
Madagascar,MDG,70
Malawi,MWI,70
Malaysia,MYS,69
Maldives,MDV,75
Mexico,MEX,91
Moldova,MDA,75
Mongolia,MNG,65
Morocco,MAR,67
Mozambique,MOZ,58
Nepal,NPL,90
New Zealand,NZL,46
Nigeria,NGA,94
Norway,NOR,41
Pakistan,PAK,76
Palestine,PSE,42
Papua New Guinea,PNG,70
Paraguay,PRY,81
Peru,PER,81
Philippines,PHL,58
Portugal,PRT,73
Romania,ROU,76
Russia,RUS,77
Rwanda,RWA,2
Senegal,SEN,76
Serbia,SRB,80
Sierra Leone,SLE,41
Slovakia,SVK,64
Slovenia,SVN,78
Solomon Islands,SLB,52
South Africa,ZAF,77
South Korea,KOR,70
South Sudan,SSD,51
Spain,ESP,83
Sri Lanka,LKA,51
Sudan,SDN,76
Switzerland,CHE,43
Taiwan,TWN,74
Tanzania,TZA,68
Thailand,THA,68
Tunisia,TUN,66
Turkey,TUR,66
Uganda,UGA,57
Ukraine,UKR,74
United Kingdom,GBR,66
United States,USA,76
Uruguay,URY,48
Vanuatu,VUT,82
Venezuela,VEN,77
Vietnam,VNM,27
Yemen,YEM,78
Zambia,ZMB,70
Zimbabwe,ZWE,74
